CC,Si_lvl,pH_lvl,Mn_Fe_lvl,trimeta_lvl,date,total_changes,Si_dose,Mn_Fe_dose,pH_dose,trimeta_dose,value
6,-1,-1,1,-1,2023-02-28,183,0,1,7.5,0,14.51598289188122
6,-1,-1,1,-1,2023-03-07,186,0,1,7.5,0,8.990459843244762
6,-1,-1,1,-1,2023-03-14,190,0,1,7.5,0,0.8383186464783516
6,-1,-1,1,-1,2023-03-21,194,0,1,7.5,0,2.489926198731971
6,-1,-1,1,-1,2023-03-28,198,0,1,7.5,0,23.626576342755115
7,1,-1,1,-1,2022-04-20,105,20,1,7.5,0,137.54250932643683
7,1,-1,1,-1,2022-05-11,117,20,1,7.5,0,56.88570675183971
7,1,-1,1,-1,2022-07-20,145,20,1,7.5,0,2.05479347069574
7,1,-1,1,-1,2022-08-03,152,20,1,7.5,0,132.34748717443068
7,1,-1,1,-1,2022-08-17,162,20,1,7.5,0,14.52763443363901
7,1,-1,1,-1,2022-09-01,165,20,1,7.5,0,16.261206711350525
7,1,-1,1,-1,2023-02-14,176,20,1,7.5,0,8.020978936637528
7,1,-1,1,-1,2023-02-28,183,20,1,7.5,0,0.7903857443863886
7,1,-1,1,-1,2023-03-07,186,20,1,7.5,0,2.11422626239665
7,1,-1,1,-1,2023-03-14,190,20,1,7.5,0,0.7800663938902335
7,1,-1,1,-1,2023-03-21,194,20,1,7.5,0,13.45818154793196
7,1,-1,1,-1,2023-03-28,198,20,1,7.5,0,0.6260914080056627
8,-1,-1,1,1,2022-04-20,105,0,1,7.5,1,67.09287402393339
8,-1,-1,1,1,2022-05-11,117,0,1,7.5,1,62.425545604652854
8,-1,-1,1,1,2022-07-20,145,0,1,7.5,1,23.200705720264985
8,-1,-1,1,1,2022-08-03,152,0,1,7.5,1,238.6439811437451
8,-1,-1,1,1,2022-08-17,162,0,1,7.5,1,73.73316666966141
8,-1,-1,1,1,2022-09-01,165,0,1,7.5,1,56.01903545189993
8,-1,-1,1,1,2023-02-14,176,0,1,7.5,1,25.63695008030476
8,-1,-1,1,1,2023-02-28,183,0,1,7.5,1,1.9998846603799016
8,-1,-1,1,1,2023-03-07,186,0,1,7.5,1,1.5194471089576225
8,-1,-1,1,1,2023-03-14,190,0,1,7.5,1,37.669863669511464
8,-1,-1,1,1,2023-03-21,194,0,1,7.5,1,2.0045919813710626
8,-1,-1,1,1,2023-03-28,198,0,1,7.5,1,6.784672069561654
9,1,-1,1,1,2022-04-20,105,20,1,7.5,1,58.69325249906715
9,1,-1,1,1,2022-05-11,117,20,1,7.5,1,130.10421382539576
9,1,-1,1,1,2022-07-06,140,20,1,7.5,1,38.34015096784237
9,1,-1,1,1,2022-07-20,145,20,1,7.5,1,5.356081438261132
9,1,-1,1,1,2022-08-03,152,20,1,7.5,1,91.50590965783616
9,1,-1,1,1,2022-08-17,162,20,1,7.5,1,148.57221709623377
9,1,-1,1,1,2022-09-01,165,20,1,7.5,1,274.8958775042916
9,1,-1,1,1,2023-02-14,176,20,1,7.5,1,44.36441991661465
9,1,-1,1,1,2023-02-28,183,20,1,7.5,1,41.79996655445648
9,1,-1,1,1,2023-03-07,186,20,1,7.5,1,44.85417765429258
9,1,-1,1,1,2023-03-14,190,20,1,7.5,1,4.757082111502747
9,1,-1,1,1,2023-03-21,194,20,1,7.5,1,49.97205406597696
9,1,-1,1,1,2023-03-28,198,20,1,7.5,1,56.02086455050373
10,0,0,-1,0,2022-04-20,105,10,0,8.5,0.5,28.59805091779535
10,0,0,-1,0,2022-05-11,117,10,0,8.5,0.5,28.729081119967915
10,0,0,-1,0,2022-07-06,140,10,0,8.5,0.5,10.021608102694069
10,0,0,-1,0,2022-07-20,145,10,0,8.5,0.5,91.35552181178087
10,0,0,-1,0,2022-08-03,152,10,0,8.5,0.5,39.15085373182134
10,0,0,-1,0,2022-08-17,162,10,0,8.5,0.5,32.312323656462496
10,0,0,-1,0,2022-09-01,165,10,0,8.5,0.5,248.7909345439096
10,0,0,-1,0,2023-02-14,176,10,0,8.5,0.5,16.517652505685103
10,0,0,-1,0,2023-02-28,183,10,0,8.5,0.5,26.83913757851025
10,0,0,-1,0,2023-03-07,186,10,0,8.5,0.5,25.730222875176544
10,0,0,-1,0,2023-03-14,190,10,0,8.5,0.5,20.339339340378764
10,0,0,-1,0,2023-03-21,194,10,0,8.5,0.5,25.806431858552493
10,0,0,-1,0,2023-03-28,198,10,0,8.5,0.5,23.899119570181707
12,1,0,0,0,2022-04-20,105,20,0.5,8.5,0.5,48.105571455368086
12,1,0,0,0,2022-05-11,117,20,0.5,8.5,0.5,20.361523631295455
12,1,0,0,0,2022-06-22,134,20,0.5,8.5,0.5,42.889400939224174
12,1,0,0,0,2022-07-06,140,20,0.5,8.5,0.5,32.202605321287635
12,1,0,0,0,2022-07-20,145,20,0.5,8.5,0.5,18.935802429610987
12,1,0,0,0,2022-08-03,152,20,0.5,8.5,0.5,122.56089881829053
12,1,0,0,0,2022-08-17,162,20,0.5,8.5,0.5,20.989744037864977
12,1,0,0,0,2022-09-01,165,20,0.5,8.5,0.5,35.90551316453103
12,1,0,0,0,2023-02-14,176,20,0.5,8.5,0.5,16.156141872345433
12,1,0,0,0,2023-02-28,183,20,0.5,8.5,0.5,20.75822652012022
12,1,0,0,0,2023-03-07,186,20,0.5,8.5,0.5,7.4954572638717
12,1,0,0,0,2023-03-14,190,20,0.5,8.5,0.5,2.297751437625971
12,1,0,0,0,2023-03-21,194,20,0.5,8.5,0.5,20.815003386195507
12,1,0,0,0,2023-03-28,198,20,0.5,8.5,0.5,12.131590961809259
13,-1,0,0,0,2022-04-20,105,0,0.5,8.5,0.5,28.70544847010348
13,-1,0,0,0,2022-05-11,117,0,0.5,8.5,0.5,51.07448025853496
13,-1,0,0,0,2022-07-06,140,0,0.5,8.5,0.5,11.093606180676884
13,-1,0,0,0,2022-07-20,145,0,0.5,8.5,0.5,4.769960206198548
13,-1,0,0,0,2022-08-03,152,0,0.5,8.5,0.5,27.75496171128547
13,-1,0,0,0,2022-08-17,162,0,0.5,8.5,0.5,30.75095825836253
13,-1,0,0,0,2022-09-01,165,0,0.5,8.5,0.5,50.68579467582568
13,-1,0,0,0,2023-02-14,176,0,0.5,8.5,0.5,17.120514987557527
13,-1,0,0,0,2023-02-28,183,0,0.5,8.5,0.5,27.298720129996592
13,-1,0,0,0,2023-03-07,186,0,0.5,8.5,0.5,2.514199593504721
13,-1,0,0,0,2023-03-14,190,0,0.5,8.5,0.5,2.329543617530537
13,-1,0,0,0,2023-03-21,194,0,0.5,8.5,0.5,16.020097003797574
13,-1,0,0,0,2023-03-28,198,0,0.5,8.5,0.5,21.244671477026607
14,0,0,0,1,2022-04-20,105,10,0.5,8.5,1,60.341443624456616
14,0,0,0,1,2022-05-11,117,10,0.5,8.5,1,40.042327785722215
14,0,0,0,1,2022-07-06,140,10,0.5,8.5,1,64.7574310933512
14,0,0,0,1,2022-07-20,145,10,0.5,8.5,1,3.6223057025434495
14,0,0,0,1,2022-08-03,152,10,0.5,8.5,1,57.64205064977743
14,0,0,0,1,2022-08-17,162,10,0.5,8.5,1,25.36688092904103
14,0,0,0,1,2022-09-01,165,10,0.5,8.5,1,36.115560150778094
14,0,0,0,1,2023-02-16,177,10,0.5,8.5,1,8.185481837423962
14,0,0,0,1,2023-02-23,180,10,0.5,8.5,1,7.541843539558081
14,0,0,0,1,2023-03-09,187,10,0.5,8.5,1,17.33358783055927
14,0,0,0,1,2023-03-16,191,10,0.5,8.5,1,16.41640839083177
14,0,0,0,1,2023-03-23,195,10,0.5,8.5,1,25.65994293191491
14,0,0,0,1,2023-03-30,199,10,0.5,8.5,1,27.9265315136506
15,0,0,0,-1,2022-04-20,105,10,0.5,8.5,0,43.15303043229877
15,0,0,0,-1,2022-05-11,117,10,0.5,8.5,0,16.098192343186827
15,0,0,0,-1,2022-07-06,140,10,0.5,8.5,0,54.03900218998786
15,0,0,0,-1,2022-07-20,145,10,0.5,8.5,0,63.433462746970655
15,0,0,0,-1,2022-08-03,152,10,0.5,8.5,0,3.317028718207972
15,0,0,0,-1,2022-08-17,162,10,0.5,8.5,0,32.06929768084102
15,0,0,0,-1,2022-09-01,165,10,0.5,8.5,0,44.76550192442719
15,0,0,0,-1,2023-02-16,177,10,0.5,8.5,0,23.33707144481374
15,0,0,0,-1,2023-02-23,180,10,0.5,8.5,0,31.19272776416533
15,0,0,0,-1,2023-03-09,187,10,0.5,8.5,0,14.367186642626212
15,0,0,0,-1,2023-03-16,191,10,0.5,8.5,0,24.19100967457927
15,0,0,0,-1,2023-03-23,195,10,0.5,8.5,0,20.336608725654933
15,0,0,0,-1,2023-03-30,199,10,0.5,8.5,0,16.9685987372262
16,0,0,0,0,2022-04-20,105,10,0.5,8.5,0.5,62.98713653606034
16,0,0,0,0,2022-05-11,117,10,0.5,8.5,0.5,40.275785475328895
16,0,0,0,0,2022-07-06,140,10,0.5,8.5,0.5,28.40045024443662
16,0,0,0,0,2022-07-20,145,10,0.5,8.5,0.5,5.797045537218923
16,0,0,0,0,2022-08-03,152,10,0.5,8.5,0.5,39.10360592354581
16,0,0,0,0,2022-08-17,162,10,0.5,8.5,0.5,20.59338690617012
16,0,0,0,0,2022-09-01,165,10,0.5,8.5,0.5,40.39478124673259
16,0,0,0,0,2023-02-16,177,10,0.5,8.5,0.5,20.611293917394487
16,0,0,0,0,2023-02-23,180,10,0.5,8.5,0.5,24.62933223164044
16,0,0,0,0,2023-03-09,187,10,0.5,8.5,0.5,22.060970131601216
16,0,0,0,0,2023-03-16,191,10,0.5,8.5,0.5,2.557903216468243
16,0,0,0,0,2023-03-23,195,10,0.5,8.5,0.5,22.780160452678924
16,0,0,0,0,2023-03-30,199,10,0.5,8.5,0.5,3.7961294285292553
17,0,0,1,0,2022-04-20,105,10,1,8.5,0.5,4.300272470121213
17,0,0,1,0,2022-05-11,117,10,1,8.5,0.5,36.525014365947385
17,0,0,1,0,2022-07-06,140,10,1,8.5,0.5,0.9437403213905834
17,0,0,1,0,2022-07-20,145,10,1,8.5,0.5,15.701237120106958
17,0,0,1,0,2022-08-03,152,10,1,8.5,0.5,73.73763308242103
17,0,0,1,0,2022-08-17,162,10,1,8.5,0.5,23.321139371994203
17,0,0,1,0,2022-09-01,165,10,1,8.5,0.5,29.603609328893743
17,0,0,1,0,2023-02-16,177,10,1,8.5,0.5,0.2814683894238328
17,0,0,1,0,2023-02-23,180,10,1,8.5,0.5,42.0386670641928
17,0,0,1,0,2023-03-09,187,10,1,8.5,0.5,13.855317213269728
17,0,0,1,0,2023-03-16,191,10,1,8.5,0.5,18.554056366710793
17,0,0,1,0,2023-03-23,195,10,1,8.5,0.5,1.0741853601638387
17,0,0,1,0,2023-03-30,199,10,1,8.5,0.5,20.62609507767684
18,-1,1,-1,-1,2022-04-20,105,0,0,9.5,0,12.196234188027924
18,-1,1,-1,-1,2022-05-11,117,0,0,9.5,0,23.841917879678764
18,-1,1,-1,-1,2022-07-06,140,0,0,9.5,0,21.494583173150755
18,-1,1,-1,-1,2022-07-20,145,0,0,9.5,0,12.556965035584398
18,-1,1,-1,-1,2022-08-03,152,0,0,9.5,0,27.081394905243624
18,-1,1,-1,-1,2022-08-17,162,0,0,9.5,0,12.551621030487585
18,-1,1,-1,-1,2022-09-01,165,0,0,9.5,0,21.359587797646988
18,-1,1,-1,-1,2023-02-16,177,0,0,9.5,0,9.95218809269384
18,-1,1,-1,-1,2023-02-23,180,0,0,9.5,0,8.814544354654846
18,-1,1,-1,-1,2023-03-09,187,0,0,9.5,0,8.335911300951075
18,-1,1,-1,-1,2023-03-16,191,0,0,9.5,0,6.9024774855154885
18,-1,1,-1,-1,2023-03-23,195,0,0,9.5,0,6.64391936107498
18,-1,1,-1,-1,2023-03-30,199,0,0,9.5,0,14.746983904606267
19,1,1,-1,-1,2022-04-20,105,20,0,9.5,0,48.81525366816472
19,1,1,-1,-1,2022-05-11,117,20,0,9.5,0,48.639469568104936
19,1,1,-1,-1,2022-07-06,140,20,0,9.5,0,26.14718939026604
19,1,1,-1,-1,2022-07-20,145,20,0,9.5,0,13.209713407005204
19,1,1,-1,-1,2022-08-03,152,20,0,9.5,0,23.61760340180244
19,1,1,-1,-1,2022-08-17,162,20,0,9.5,0,16.656574203216774
19,1,1,-1,-1,2022-09-01,165,20,0,9.5,0,21.20825674887588
19,1,1,-1,-1,2023-02-16,177,20,0,9.5,0,20.748117888587743
19,1,1,-1,-1,2023-02-23,180,20,0,9.5,0,41.69393424223152
19,1,1,-1,-1,2023-03-09,187,20,0,9.5,0,15.450989769482408
19,1,1,-1,-1,2023-03-16,191,20,0,9.5,0,11.338421892133784
19,1,1,-1,-1,2023-03-23,195,20,0,9.5,0,15.478457084507047
19,1,1,-1,-1,2023-03-30,199,20,0,9.5,0,23.790021544107372
20,-1,1,-1,1,2022-04-20,105,0,0,9.5,1,10.111753235188676
20,-1,1,-1,1,2022-05-11,117,0,0,9.5,1,13.51886314567717
20,-1,1,-1,1,2022-07-06,140,0,0,9.5,1,4.1230525897595625
20,-1,1,-1,1,2022-07-20,145,0,0,9.5,1,5.376028608058099
20,-1,1,-1,1,2022-08-03,152,0,0,9.5,1,12.790967403806205
20,-1,1,-1,1,2022-08-17,162,0,0,9.5,1,21.63457550155284
20,-1,1,-1,1,2022-09-01,165,0,0,9.5,1,6.2548837981064365
20,-1,1,-1,1,2023-02-16,177,0,0,9.5,1,13.918555501300832
20,-1,1,-1,1,2023-02-23,180,0,0,9.5,1,12.952500389217931
20,-1,1,-1,1,2023-03-09,187,0,0,9.5,1,9.542140469061744
20,-1,1,-1,1,2023-03-16,191,0,0,9.5,1,6.882914877718075
20,-1,1,-1,1,2023-03-23,195,0,0,9.5,1,15.441957154221845
20,-1,1,-1,1,2023-03-30,199,0,0,9.5,1,23.734264688236983
21,1,1,-1,1,2022-04-20,105,20,0,9.5,1,33.46841327059149
21,1,1,-1,1,2022-05-11,117,20,0,9.5,1,47.539105801363725
21,1,1,-1,1,2022-07-06,140,20,0,9.5,1,14.510225585686756
21,1,1,-1,1,2022-07-20,145,20,0,9.5,1,17.751464283251806
21,1,1,-1,1,2022-08-03,152,20,0,9.5,1,55.31243581610856
21,1,1,-1,1,2022-08-17,162,20,0,9.5,1,41.240458250279325
21,1,1,-1,1,2022-09-01,165,20,0,9.5,1,65.01235808719242
21,1,1,-1,1,2023-02-16,177,20,0,9.5,1,24.396752945931176
21,1,1,-1,1,2023-02-23,180,20,0,9.5,1,64.57876134309541
21,1,1,-1,1,2023-03-09,187,20,0,9.5,1,19.032747736614027
21,1,1,-1,1,2023-03-16,191,20,0,9.5,1,12.709888821297374
21,1,1,-1,1,2023-03-23,195,20,0,9.5,1,24.41926204983634
21,1,1,-1,1,2023-03-30,199,20,0,9.5,1,17.364335515185843
22,0,1,0,0,2022-04-20,105,10,0.5,9.5,0.5,83.63733259198774
22,0,1,0,0,2022-05-11,117,10,0.5,9.5,0.5,231.29975706972925
22,0,1,0,0,2022-07-06,140,10,0.5,9.5,0.5,2.454813882112682
22,0,1,0,0,2022-07-20,145,10,0.5,9.5,0.5,2.0816205082692063
22,0,1,0,0,2022-08-03,152,10,0.5,9.5,0.5,24.79351462626984
22,0,1,0,0,2022-08-17,162,10,0.5,9.5,0.5,15.9504242883859
22,0,1,0,0,2022-09-01,165,10,0.5,9.5,0.5,93.80176821975836
22,0,1,0,0,2023-02-16,177,10,0.5,9.5,0.5,18.922250229321843
22,0,1,0,0,2023-02-23,180,10,0.5,9.5,0.5,7.205979594261656
22,0,1,0,0,2023-03-09,187,10,0.5,9.5,0.5,0.45396344826878415
22,0,1,0,0,2023-03-16,191,10,0.5,9.5,0.5,6.6876363709163
22,0,1,0,0,2023-03-23,195,10,0.5,9.5,0.5,26.833052128691023
22,0,1,0,0,2023-03-30,199,10,0.5,9.5,0.5,24.739206908420417
23,-1,1,1,-1,2022-04-20,105,0,1,9.5,0,92.0889092825264
23,-1,1,1,-1,2022-05-11,117,0,1,9.5,0,5.462130894704304
23,-1,1,1,-1,2022-07-06,140,0,1,9.5,0,0.5237470910373356
23,-1,1,1,-1,2022-07-20,145,0,1,9.5,0,42.87172568758954
23,-1,1,1,-1,2022-08-03,152,0,1,9.5,0,56.68277253927787
23,-1,1,1,-1,2022-08-17,162,0,1,9.5,0,6.176840152124126
23,-1,1,1,-1,2022-09-01,165,0,1,9.5,0,70.76163541834633
23,-1,1,1,-1,2023-02-16,177,0,1,9.5,0,0.2161942680046484
23,-1,1,1,-1,2023-02-23,180,0,1,9.5,0,0.1504751061341367
23,-1,1,1,-1,2023-03-09,187,0,1,9.5,0,10.613435790851332
23,-1,1,1,-1,2023-03-16,191,0,1,9.5,0,3.6663235195645383
23,-1,1,1,-1,2023-03-23,195,0,1,9.5,0,12.440005368581687
23,-1,1,1,-1,2023-03-30,199,0,1,9.5,0,12.301607515564056
24,1,1,1,-1,2022-04-20,105,20,1,9.5,0,72.22473316207572
24,1,1,1,-1,2022-05-11,117,20,1,9.5,0,69.71784478163282
24,1,1,1,-1,2022-07-06,140,20,1,9.5,0,19.5878909987741
24,1,1,1,-1,2022-07-20,145,20,1,9.5,0,136.37993750545013
24,1,1,1,-1,2022-08-03,152,20,1,9.5,0,0.39922183525284616
24,1,1,1,-1,2022-08-17,162,20,1,9.5,0,19.30470740537234
24,1,1,1,-1,2022-09-01,165,20,1,9.5,0,88.46541264302438
24,1,1,1,-1,2023-02-16,177,20,1,9.5,0,12.436463715144486
24,1,1,1,-1,2023-02-23,180,20,1,9.5,0,39.64390528339525
24,1,1,1,-1,2023-03-09,187,20,1,9.5,0,19.225714685499213
24,1,1,1,-1,2023-03-16,191,20,1,9.5,0,9.865651846873238
24,1,1,1,-1,2023-03-23,195,20,1,9.5,0,0.4589796688388104
24,1,1,1,-1,2023-03-30,199,20,1,9.5,0,5.480571749610276
25,-1,1,1,1,2022-04-20,105,0,1,9.5,1,168.9988127775859
25,-1,1,1,1,2022-05-11,117,0,1,9.5,1,54.25545232778907
25,-1,1,1,1,2022-07-06,140,0,1,9.5,1,0.9336901987228192
25,-1,1,1,1,2022-07-20,145,0,1,9.5,1,1.3535363782752232
25,-1,1,1,1,2022-08-03,152,0,1,9.5,1,1.4061480330533709
25,-1,1,1,1,2022-08-17,162,0,1,9.5,1,30.968209564480635
25,-1,1,1,1,2022-09-01,165,0,1,9.5,1,14.106942964213848
25,-1,1,1,1,2023-02-16,177,0,1,9.5,1,15.50950908730403
25,-1,1,1,1,2023-02-23,180,0,1,9.5,1,49.54407162397956
25,-1,1,1,1,2023-03-09,187,0,1,9.5,1,16.554381301495276
25,-1,1,1,1,2023-03-16,191,0,1,9.5,1,16.840138859241563
25,-1,1,1,1,2023-03-23,195,0,1,9.5,1,28.803711627393128
25,-1,1,1,1,2023-03-30,199,0,1,9.5,1,0.5126828864106241
26,1,1,1,1,2022-04-20,105,20,1,9.5,1,2.4157315530422383
26,1,1,1,1,2022-05-11,117,20,1,9.5,1,99.75498713699864
26,1,1,1,1,2022-07-06,140,20,1,9.5,1,0.8110543271449095
26,1,1,1,1,2022-07-20,145,20,1,9.5,1,7.501227613126804
26,1,1,1,1,2022-08-03,152,20,1,9.5,1,41.69250916260541
26,1,1,1,1,2022-08-17,162,20,1,9.5,1,25.39135841762833
26,1,1,1,1,2022-09-01,165,20,1,9.5,1,39.04352613070152
26,1,1,1,1,2023-02-16,177,20,1,9.5,1,6.996840588731155
26,1,1,1,1,2023-02-23,180,20,1,9.5,1,9.577530118857302
26,1,1,1,1,2023-03-09,187,20,1,9.5,1,6.176871595301469
26,1,1,1,1,2023-03-16,191,20,1,9.5,1,2.5910200416605713
26,1,1,1,1,2023-03-23,195,20,1,9.5,1,24.885523580090645
26,1,1,1,1,2023-03-30,199,20,1,9.5,1,9.883613070392071
27,-1,-1,-1,-1,2022-04-20,105,0,0,7.5,0,20.99547931540456
27,-1,-1,-1,-1,2022-05-11,117,0,0,7.5,0,46.662752303455285
27,-1,-1,-1,-1,2022-07-20,145,0,0,7.5,0,14.508127020763832
27,-1,-1,-1,-1,2022-08-03,152,0,0,7.5,0,25.10529019010752
27,-1,-1,-1,-1,2022-08-17,162,0,0,7.5,0,41.02705098362704
27,-1,-1,-1,-1,2022-09-01,165,0,0,7.5,0,27.56237443570093
27,-1,-1,-1,-1,2023-02-14,176,0,0,7.5,0,7.783101042426123
27,-1,-1,-1,-1,2023-02-28,183,0,0,7.5,0,10.689114417956642
27,-1,-1,-1,-1,2023-03-07,186,0,0,7.5,0,6.86155356599362
27,-1,-1,-1,-1,2023-03-14,190,0,0,7.5,0,6.7531677618296175
27,-1,-1,-1,-1,2023-03-21,194,0,0,7.5,0,6.095178441945864
27,-1,-1,-1,-1,2023-03-28,198,0,0,7.5,0,10.722212381788012
28,1,-1,-1,-1,2022-04-20,105,20,0,7.5,0,79.28156731103233
28,1,-1,-1,-1,2022-05-11,117,20,0,7.5,0,12.216791555308864
28,1,-1,-1,-1,2022-07-20,145,20,0,7.5,0,35.18511130651875
28,1,-1,-1,-1,2022-08-03,152,20,0,7.5,0,71.41104166448463
28,1,-1,-1,-1,2022-08-17,162,20,0,7.5,0,24.800815917445007
28,1,-1,-1,-1,2022-09-01,165,20,0,7.5,0,21.485431017077385
28,1,-1,-1,-1,2023-02-14,176,20,0,7.5,0,11.439989638117458
28,1,-1,-1,-1,2023-02-28,183,20,0,7.5,0,13.226906288592208
28,1,-1,-1,-1,2023-03-07,186,20,0,7.5,0,10.50014598300748
28,1,-1,-1,-1,2023-03-14,190,20,0,7.5,0,7.497505682519455
28,1,-1,-1,-1,2023-03-21,194,20,0,7.5,0,13.797047418105532
28,1,-1,-1,-1,2023-03-28,198,20,0,7.5,0,8.667289610602584
29,-1,-1,-1,1,2022-04-20,105,0,0,7.5,1,33.465932132783266
29,-1,-1,-1,1,2022-05-11,117,0,0,7.5,1,28.651631342177424
29,-1,-1,-1,1,2022-07-20,145,0,0,7.5,1,60.18730234260398
29,-1,-1,-1,1,2022-08-03,152,0,0,7.5,1,262.13870743018884
29,-1,-1,-1,1,2022-08-17,162,0,0,7.5,1,44.75217135105077
